x,OGLE3+4
-5.90704,-0.00234
-5.84422,-0.06154
-5.78141,-0.12468
-5.71859,-0.19572
-5.65578,-0.26675
-5.56784,-0.35357
-5.4799,-0.44039
-5.40452,-0.52326
-5.30402,-0.61008
-5.20352,-0.71663
-5.10302,-0.8074
-5.0402,-0.87843
-4.92714,-0.98893
-4.80151,-1.10732
-4.68844,-1.22965
-4.53769,-1.37172
-4.3995,-1.50195
-4.24874,-1.62428
-4.09799,-1.74266
-3.90955,-1.9005
-3.78392,-1.98731
-3.67085,-2.05439
-3.58291,-2.11752
-3.49497,-2.16092
-3.40704,-2.20432
-3.3191,-2.24377
-3.21859,-2.28716
-3.13065,-2.31872
-3.03015,-2.35422
-2.90452,-2.38971
-2.81658,-2.42521
-2.69095,-2.45676
-2.5402,-2.4883
-2.41457,-2.508
-2.26382,-2.5277
-2.11307,-2.5395
-2,-2.55132
-1.86181,-2.55917
-1.71106,-2.55519
-1.54774,-2.55514
-1.39698,-2.54326
-1.25879,-2.53138
-1.08291,-2.5116
-0.94472,-2.48788
-0.79397,-2.46021
-0.63065,-2.42069
-0.46734,-2.38118
-0.29146,-2.33771
-0.11558,-2.28635
0.0603,-2.23498
0.22362,-2.18757
0.3995,-2.13226
0.58794,-2.06906
0.81407,-1.99005
1.05276,-1.90709
1.26633,-1.83204
1.51759,-1.72144
1.79397,-1.6069
2.05779,-1.48446
2.24623,-1.38178
2.48492,-1.26329
2.68593,-1.14087
2.91206,-1.0066
3.1005,-0.88024
3.30151,-0.73808
3.46482,-0.62356
3.6407,-0.46562
3.80402,-0.34321
3.99246,-0.14974
