x,OGLEevent
1.4767e-06,0.060172
1.5037e-06,0.070913
1.5174e-06,0.052474
1.5452e-06,0.081315
1.5734e-06,0.047463
1.5878e-06,0.045346
1.6315e-06,0.085891
1.6918e-06,0.040274
1.7072e-06,0.091557
1.7702e-06,0.036427
1.819e-06,0.095831
1.9034e-06,0.032352
1.9382e-06,0.101224
2.0281e-06,0.028997
2.1415e-06,0.106921
2.1806e-06,0.026468
2.366e-06,0.109888
2.5671e-06,0.021654
2.5905e-06,0.110896
2.7854e-06,0.019765
2.8882e-06,0.10889
3.0774e-06,0.018207
3.1623e-06,0.106921
3.3695e-06,0.10595
3.5257e-06,0.0163186
3.6229e-06,0.104033
3.9667e-06,0.099394
4.0392e-06,0.014231
4.3039e-06,0.095831
4.7552e-06,0.0124106
4.7985e-06,0.090725
5.2064e-06,0.086679
5.598e-06,0.0109222
5.7523e-06,0.081315
6.2413e-06,0.0098791
6.4134e-06,0.077688
7.1504e-06,0.073549
7.3475e-06,0.0088544
7.6882e-06,0.070913
8.2665e-06,0.067135
8.5718e-06,0.0080822
9.5569e-06,0.062981
1.03693e-05,0.059625
1.04637e-05,0.0073773
1.11492e-05,0.058015
1.26579e-05,0.053441
1.27732e-05,0.0066728
1.3859e-05,0.051057
1.5037e-05,0.0063173
1.5734e-05,0.048337
1.7543e-05,0.045762
1.8356e-05,0.0058725
1.9382e-05,0.043324
2.161e-05,0.005662
2.1806e-05,0.041391
2.4093e-05,0.039186
2.6619e-05,0.0056106
2.7106e-05,0.037098
3.1055e-05,0.0057139
3.1623e-05,0.034486
3.4623e-05,0.032948
3.6559e-05,0.0058725
3.8954e-05,0.03091
4.3039e-05,0.029531
4.3431e-05,0.0063173
4.6697e-05,0.027203
4.9757e-05,0.0067339
5.1128e-05,0.025753
5.4478e-05,0.0071781
5.5475e-05,0.02394
5.9109e-05,0.0077217
6.019e-05,0.022665
6.3555e-05,0.021262
6.7108e-05,0.0091002
6.7719e-05,0.019057
7.1504e-05,0.0101532
7.2155e-05,0.0175544
7.4144e-05,0.0113282
7.482e-05,0.0133504
