x,SubaruNull
6.6576e-11,0.99857
7.4369e-11,0.85409
8.4233e-11,0.70558
9.5404e-11,0.58798
1.0806e-10,0.48574
1.2071e-10,0.39782
1.4251e-10,0.31743
1.6594e-10,0.25549
1.9591e-10,0.207427
2.2813e-10,0.16551
2.6933e-10,0.134375
3.2241e-10,0.108153
4.0232e-10,0.086293
5.0202e-10,0.068257
6.3516e-10,0.055414
7.8168e-10,0.046577
9.754e-10,0.039835
1.2004e-09,0.034665
1.3786e-09,0.032337
1.6732e-09,0.029644
1.9755e-09,0.027894
2.2687e-09,0.026706
2.6053e-09,0.026017
2.9103e-09,0.025568
3.5325e-09,0.025124
4.1132e-09,0.024689
4.8562e-09,0.024686
5.7334e-09,0.025115
6.4938e-09,0.025775
7.7737e-09,0.026682
9.4354e-09,0.027861
1.1452e-08,0.029859
1.39e-08,0.032001
1.7107e-08,0.034596
2.2561e-08,0.038719
3.2781e-08,0.045252
4.8967e-08,0.054282
7.6245e-08,0.067411
1.0482e-07,0.079476
1.5875e-07,0.097003
2.2437e-07,0.115358
3.2152e-07,0.140803
4.5441e-07,0.171863
6.1612e-07,0.206172
8.588e-07,0.25165
1.1644e-06,0.31528
1.6008e-06,0.39157
2.1704e-06,0.48213
2.7843e-06,0.59883
3.5718e-06,0.7184
4.3353e-06,0.83974
5.1184e-06,0.99014
